layer,accuracy
0,0.8552631578947368
1,0.9342105263157895
2,0.9342105263157895
3,0.9473684210526315
4,0.9868421052631579
5,0.9605263157894737
6,0.9736842105263158
7,0.9736842105263158
8,0.9868421052631579
9,1.0
10,1.0
11,0.9605263157894737
12,0.9868421052631579
13,0.9868421052631579
14,1.0
15,0.9868421052631579
16,0.9736842105263158
17,0.9868421052631579
18,0.9342105263157895
19,0.9736842105263158
20,1.0
21,0.9868421052631579
22,0.9868421052631579
23,0.9868421052631579
24,0.9868421052631579
25,0.9868421052631579
26,1.0
27,0.9473684210526315
28,1.0
29,0.9736842105263158
30,1.0
31,0.9605263157894737
32,0.9473684210526315
33,0.9342105263157895
34,0.9605263157894737
35,0.9868421052631579
36,0.9868421052631579
